Date,New_Starts_1L,1L_VRd,Total_1L,1L_D-VRd,1L_VTd,1L_D-VTd,1L_Rd,1L_DRd,1L_VRd-lite,2L_DVd,Total_2L,2L_DRd_2L,2L_DKd,2L_Kd,2L_PVd,2L_Isa-Kd,2L_Selinexor-Vd,3L_PVd_3L,Total_3L,3L_DKd_3L,3L_Kd_3L,3L_Elo-Pd,3L_Selinexor-Vd_3L,3L_Isa-Pd,4L+_Ide-cel,Total_4L+,4L+_Cilta-cel,4L+_Teclistamab,4L+_Talquetamab
2015-04-01,1926.7375,807.2087797699147,74950.05494840047,2929.631195079276,21267.63300448055,1867.201252118344,18035.1342325926,18575.566400739444,11467.680083620364,2507.094289316403,23160.903034235824,5430.072702456953,3946.725388123067,2772.4764087896647,1722.75223707148,4663.760213298622,2118.0217951796367,967.0861864895867,7487.9034350098555,1990.4612721819071,1477.8477682800767,896.7810437602739,1165.6764100624503,990.0507542355605,415.4069325524007,2490.450819003211,1196.7452846816636,522.1128614036512,356.1857403654949
2015-05-01,1926.7375,782.5652573939744,75109.6281073931,2885.3539084624936,21216.578700044993,1829.310101565989,18952.785025126104,18283.375472474276,11159.659642325269,2517.6628351839827,23265.394444126585,5456.5384197783,3964.6628852807717,2784.337484446839,1729.752036910625,4685.672166682482,2126.768615843602,971.8039605757723,7525.6718759492705,2000.9885378765753,1485.3906133426901,901.1248129513522,1171.4723287481306,994.8916224547476,417.68768435025345,2504.6722111612407,1203.8428344150843,525.0154873421936,358.12620505370955
2015-06-01,1926.7375,758.606162388993,75261.43421460595,2841.646368152095,21155.064113674533,1792.0944364301338,19863.240953912627,17993.81960323465,10856.96257681295,2528.3501783508304,23370.6606950534,5483.094518477147,3982.6983542789017,2796.3118867914845,1736.8852427375573,4707.677997003808,2135.64251741366,976.5033001465126,7563.310295459072,2011.4886943765678,1492.9071928611331,905.4519048496215,1177.2456905318709,999.7135126933673,419.96049850039265,2518.8667174777447,1210.9371176565649,527.9097992959299,360.05930202485644
2015-07-01,1926.7375,735.3152527562667,75405.55167423526,2798.5036605214527,21083.26738317067,1755.5450066078486,20766.2168937118,17706.98598602803,10559.717491439249,2539.1500784992145,23476.661162921624,5509.737772558542,4000.827966111705,2808.3941779699553,1744.1413808973655,4729.774225066605,2144.635561818237,981.1881583238851,7600.841334686451,2021.9649525138884,1500.4011810377729,909.7662448549809,1183.0004158251083,1004.5203821308129,422.22521322059646,2533.032778956321,1218.0271550926393,530.7954437041664,361.98496693891934
2015-08-01,1926.7375,712.67655388699,75542.08358898952,2755.920844520841,21001.389848949177,1719.6525957898584,21661.472412705836,17422.948655692286,10268.022677444613,2550.053015771248,23583.332615529343,5536.461672270828,4019.044585821408,2820.575614703437,1751.5070233332235,4751.954078476037,2153.7366251531325,985.8623106349104,7638.286970575317,2032.420554510771,1507.8762184082227,914.0715532429649,1188.740314858548,1009.3160189199001,424.48181319045744,2547.1694369362535,1225.112124999683,533.6722284687344,363.9032702773791
2015-09-01,1926.7375,690.6743598674875,75671.15229180772,2713.8929546763015,20909.658326270688,1684.4080254054072,22548.796425600634,17141.77080117526,9981.95139881199,2561.0471433603325,23690.59570730023,5563.2572678439765,4037.3386473371834,2832.8450797464457,1758.966830930067,4774.208348362557,2162.9323897196505,990.5292399498175,7675.667800869709,2042.8586482219748,1515.335786612714,918.3712335382762,1194.468966377366,1014.1039261695599,426.7304193178551,2561.2763038307003,1232.1913637496557,536.5401149702827,365.8144057929065
2015-10-01,1926.7375,669.2932343952701,75792.89534767056,2672.4150039692313,20808.32666277989,1649.8021583504096,23427.99597310078,16863.50646664118,9701.555848433874,2572.11895728328,23798.359516290846,5590.113751570316,4055.6987613052365,2845.1897353144127,1766.5042857209528,4796.525982257961,2172.2080428386907,995.1920546235372,7713.002518681252,2053.282189422741,1522.7831130021189,922.6682947094898,1200.1896279879838,1018.8872389353812,428.9712740807045,2575.3535151407577,1239.264360920764,539.3992052382549,367.718674901034
2015-11-01,1926.7375,648.5180113299458,75907.46248369382,2631.481986601514,20697.6766226698,1615.8259025081227,24298.887894022373,16588.201848700526,9426.870217861582,2583.25379627162,23906.524910567357,5617.018887403672,4074.112166085405,2857.5955105873895,1774.102230262558,4818.894522716377,2181.5477972403214,999.8534325254788,7750.3075353169215,2063.693866122814,1530.2210987237695,926.9652996129468,1205.905171355022,1023.6686669768935,431.20472382816365,2589.4016679660917,1246.3307501107881,542.2497255861888,369.61646844095117
2015-12-01,1926.7375,628.3337949018137,76015.01314546508,2591.0888806507587,20578.01813071453,1582.4702140711292,25161.29266188799,16315.896314609763,9157.913148629184,2594.4362296052404,24014.987146548414,5643.959343183104,4092.5650777134338,2870.047480488445,1781.7432762013193,4841.30044707302,2190.93529228383,1004.5155857546458,7787.596722390289,2074.096040830631,1537.652265912237,931.2643342696746,1211.618037482525,1028.4504581405724,433.43119919528993,2603.421750401985,1253.3902964066815,545.0920078271242,371.50824697288857
2016-01-01,1926.7375,608.725959599831,76115.71449819345,2551.23065061996,20449.688907966476,1549.726100673013,26015.029922869522,16046.623220628342,8894.689735836384,2720.2001898318817,24127.803245472875,5878.723338911001,3955.46764055515,3179.271263397558,1638.594638700966,4707.645273930342,2047.9009001459733,916.1091580440337,7831.421564914335,1988.4541692695036,2020.624524682762,842.9716269219393,1123.2389197141986,940.0231662818961,435.6511945893662,2617.4150655115213,1260.4428813455181,547.9264690167184,373.39452055991785
2016-02-01,1998.4208333333331,589.6801497595603,76280.68615585177,2511.9022498856884,20330.604416313323,1517.5846243377077,26913.31093522667,15780.41058291908,8637.193197409802,2847.4440034960485,24245.285232287235,6118.294282260639,3821.0115884884804,3468.256676711355,1503.2707581007576,4576.054177821846,1910.953745408119,833.3323660156367,7879.329073973828,1905.2587252381888,2483.4400550281935,760.7978263704068,1039.4198733418948,857.0802279795057,437.1072609614921,2628.3093721099303,1266.6911499308044,549.982536008466,374.5284252091679
2016-03-01,1998.4208333333331,571.182278870687,76438.19325967877,2473.098623048699,20202.961002257067,1486.0369042541474,27802.226527249575,15517.281636879807,8385.406287118807,2975.8275744128864,24367.83783542958,6362.5011706815785,3689.3841698879482,3736.9714209998824,1376.0726495258243,4446.675439919605,1780.4054100018507,756.2724997083409,7931.034164246656,1824.5855791479694,2925.379312894751,684.8075393339053,960.2748118404356,779.7144213212539,437.8040498501271,2636.075357412086,1272.0944669984765,551.2510678833654,374.925772680117
2016-04-01,1998.4208333333331,553.2185286227169,76588.306410288,2434.814708190676,20067.151950853575,1455.074119383491,28681.4892862849,15257.25531022751,8139.302506725176,3105.0359023079204,24495.498020347844,6611.127743663279,3560.714001438484,3985.5470092513615,1257.0638030291157,4319.614884938722,1656.3946757189628,684.8684999393851,7986.191690871599,1746.4716179408897,3346.2691952676714,614.8989191757996,885.8079966301786,707.8754619176771,437.8002764571978,2640.8997719911463,1276.6668844599378,551.7772468309383,374.655364243073
2016-05-01,1998.4208333333331,535.7753477065468,76731.13591411136,2397.0454390406157,19923.604002795124,1424.6875109058858,29550.829827933772,15000.3466281578,7898.847157571635,3234.782725031072,24628.122026246696,6863.938008235755,3435.0906503777137,4214.258922891394,1146.1544981850986,4194.9500705360615,1538.947150989601,618.9676505407799,8044.420463954322,1670.9290302171876,3746.275954521665,550.8687927227654,815.9546359912782,641.4243999606463,437.1817735899491,2643.081041614331,1280.4526857506698,551.6352711677853,373.81131110592634
2016-06-01,1998.4208333333331,518.8394503887214,76866.81450902202,2359.7857470542285,19772.769679975925,1394.8683845134185,30409.985921348984,14746.567064131666,7663.998261609118,3364.8090923215627,24765.474621484642,7120.688132138281,3312.575128963534,4423.506781041392,1043.14978851452,4072.7379540497186,1428.0077444556268,558.3574485161233,8105.319098390769,1597.9521394927215,4125.793221320051,492.4497403928085,750.602559285779,580.1639893832856,436.0468710119229,2642.9728822467796,1283.5138591607308,550.9141608894686,372.49799118465813
2016-07-01,1998.4208333333331,502.3978148743525,76995.48958134858,2323.030563409543,19615.12207398979,1365.6081125556204,31258.698795374345,14495.924846506772,7434.707374638179,3494.8768035043713,24907.26389507309,7381.1260023470895,3193.206469665989,4613.791143748578,947.781587072706,3953.019624453474,1323.4622642808936,502.7868418836092,8168.480961953888,1527.5219214497508,4485.371762544595,439.3347436888838,689.6067402195699,523.858952167478,434.4977921109475,2640.951167053072,1285.9226182286836,549.7094253772783,370.8213313361627
2016-08-01,1998.4208333333331,486.43768147388306,77117.31868344068,2286.774820921771,19451.1503756549,1336.8981360436253,32096.712131135984,14248.425228847995,7210.920309362537,3624.763261115927,25053.162889857307,7644.990124194423,3077.0061952647256,4785.695661756032,859.7314589755239,3835.8234884020135,1225.1527001486772,451.98109950857156,8233.505349463303,1459.6090996757082,4825.671113862677,391.1943568957625,632.7994980204925,472.2501815000908,432.6351202317814,2637.3924664680976,1287.7564146771067,548.1175827216815,368.88334883752816
2016-09-01,1998.4208333333331,470.94655058812316,77232.46657828959,2251.0134558803575,19281.355707950905,1308.7299665188177,32923.772385266595,14004.070730016081,6992.577782068729,3754.257605106474,25202.824645593737,7912.008712249571,2963.981550482719,4939.873111188622,778.6475113649901,3721.167551928963,1132.8886032724072,405.6526025953814,8300.005595199284,1394.1763940259632,5147.424482170866,347.68904628859747,579.9979954457525,425.06507467272206,430.5541887454704,2632.659828247796,1289.0944497168905,546.2324485404155,366.77874124502034
2016-10-01,1998.4208333333331,455.91218052525784,77341.1031195726,2215.7414098109844,19106.24713830767,1281.0951877915747,33739.62986035868,13762.86134884676,6779.615993931724,3883.15781435168,25355.893143325604,8181.899095462818,2854.1279470019135,5077.034071811161,704.1572293278892,3609.0611314728526,1046.4558538972942,363.5088264955653,8367.614800997315,1331.180223540723,5451.412455848042,308.4781794872341,531.0099101553973,382.02520547035283,428.34278029965594,2627.09345254471,1290.0151826021427,544.1426280221333,364.5928616207769
2016-11-01,1998.4208333333331,441.3225851628468,77443.40164406778,2180.9536311652105,18926.337849551936,1253.9854575554643,34544.04020754803,13524.794757264177,6571.967155820168,4011.2685497332154,25512.011409626983,8454.367445316608,2747.4308787212913,5197.937413514779,635.8773679162581,3499.5061833925247,965.6235710322994,325.25828699490984,8435.98971914137,1270.5720371435814,5738.442941516201,273.22658173794014,485.63780031723127,342.852071431504,426.07975788866236,2621.004842047347,1290.594547526606,541.9298713579273,362.40066527415246
2016-12-01,1998.4208333333331,441.1136478544462,77539.56703114662,2146.6450769402873,18735.210445532848,1227.3925088820579,35329.778913158545,13289.866474932816,6369.5599638456415,4138.39958962177,25670.827527014793,8729.108819131996,2643.8674632762823,5303.382029443268,573.421619719819,3392.498366512024,890.1496393096446,290.6149600047675,8504.813208031943,1212.299378387846,6009.3357051654475,241.60926965880716,443.68249729147624,307.27139752359744,423.83437359789,2614.6734829667803,1290.9046949638828,539.6680677275816,360.26634667742564
2017-01-01,1998.4208333333331,442.64940857501267,77629.79156106246,2112.810714231602,18539.83180869068,1201.3081516012958,36102.80141834787,13058.070027980652,6172.32003163539,4233.85788042959,25829.30374461737,8964.355503462666,2543.4077097133018,5364.10839403072,615.7611762927808,3288.02791077131,819.7851699170203,520.1745203575501,8568.082971626654,1156.3067530142725,5998.32482420832,213.31479268825763,404.9457508702406,275.0163304880131,421.66607294330777,2608.3453875502328,1291.0131314103896,537.4227184822984,358.2434647142376
2017-02-01,2025.620833333333,446.27606782017074,77741.18546720852,2079.445521720082,18345.711906124547,1175.7242735721634,36884.46031977855,12829.397093878773,5980.17028431423,4329.036019433586,25986.899616118375,9201.793744918905,2446.0154641516956,5413.200181414981,656.4962175648028,3186.080340634494,754.2776479999204,738.6992782533588,8626.967403723042,1102.5360282131721,5982.623844925909,188.04711740283474,369.23181263822073,245.82932228954746,420.2861126123444,2604.915386335859,1291.6781457399711,535.9234418805142,357.0276861030289
2017-03-01,2025.620833333333,451.9167391450853,77846.64856215101,2046.5444910968044,18148.083548254694,1150.6328418482306,37652.60198920489,12603.837634209307,5793.031318392016,4423.838204640647,26143.409186954228,9441.155940034447,2351.649776504615,5451.496130515896,695.256241655147,3086.637086817001,693.3758067864773,945.8221236739382,8681.32328454467,1050.9283238390597,5963.227581366068,165.5286479967358,336.35098611997347,219.46562154889494,419.73867177309705,2604.6192140305106,1292.999153075555,535.2348500365794,356.64653914528014
2017-04-01,2025.620833333333,459.725432484312,77946.32380079977,2014.1026284269801,17947.379667791698,1126.0259037424444,38406.88842046344,12381.38001677118,5610.821731119729,4518.119857104683,26298.656999524002,9682.126125881736,2260.264961075179,5479.80284453827,731.8382012230493,2989.6760101913637,636.8289995097192,1141.5295355966225,8731.114864494282,1001.4225433513608,5940.854992642092,145.49851101323014,306.1177923251299,195.69148956584996,420.0107536630217,2607.4682486786833,1295.0219442447856,535.3641667343808,357.07138403649526
