Date,NewDx,On_1L,On_2L,On_3L_plus,On_Treatment_Total
2012-01-01,2026.9166666666667,47667.24379765807,18083.80261824975,4075.4398280650917,69826.48624397292
2012-02-01,2026.9166666666667,47870.43724778967,18155.557542224567,4091.8896945238816,70117.88448453811
2012-03-01,2026.9166666666667,48067.15266060975,18227.88131132555,4108.368431534984,70403.40240347027
2012-04-01,2026.9166666666667,48257.59656328433,18300.61490400686,4124.889521119172,70683.10098841036
2012-05-01,2026.9166666666667,48441.968898659485,18373.611317252376,4141.459863204338,70957.0400791162
2012-06-01,2026.9166666666667,48620.4632351769,18446.73484068754,4158.080999214257,71225.2790750787
2012-07-01,2026.9166666666667,48793.266970097146,18519.86037073707,4174.750153936313,71487.87749477052
2012-08-01,2026.9166666666667,48960.56152624387,18592.872762718136,4191.461120601629,71744.89540956364
2012-09-01,2026.9166666666667,49122.52254247566,18665.666218866892,4208.2050107926325,71996.39377213518
2012-10-01,2026.9166666666667,49279.32005808534,18738.14371039934,4224.9708879110785,72242.43465639577
2012-11-01,2026.9166666666667,49431.11869132054,18810.216431805093,4241.746300436838,72483.08142356247
2012-12-01,2026.9166666666667,49578.07781221271,18881.803285665384,4258.517729034701,72718.3988269128
2013-01-01,2118.0,49720.351709896204,18952.83039637481,4275.270959679764,72948.45306595077
2013-02-01,2118.0,49935.51058792638,19023.230651229784,4291.991393334341,73250.73263249052
2013-03-01,2118.0,50143.8099572525,19094.508468369386,4308.6643012878485,73546.98272690974
2013-04-01,2118.0,50345.46850678061,19166.481887665002,4325.322499052356,73837.27289349798
2013-05-01,2118.0,50540.697953366755,19238.98234475896,4341.989000935326,74121.66929906105
2013-06-01,2118.0,50729.70326409383,19311.853869409875,4358.678705566521,74400.23583907021
2013-07-01,2118.0,50912.68287146199,19384.95232787066,4375.399837111984,74673.03503644463
2013-08-01,2118.0,51089.82888171859,19458.144706984218,4392.155175399207,74940.12876410202
2013-09-01,2118.0,51261.32727654622,19531.308437800522,4408.9431037708555,75201.5788181176
2013-10-01,2118.0,51427.358108320805,19604.330756631505,4425.758499656442,75457.44736460874
2013-11-01,2118.0,51588.095689144626,19677.108101567337,4442.593489526414,75707.79728023837
2013-12-01,2118.0,51743.708773852726,19749.545542579144,4459.438087005458,75952.69240343734
2014-01-01,2184.3333333333335,51894.360737184885,19821.556243429884,4476.280730414128,76192.1977110289
2014-02-01,2184.3333333333335,52096.59307864248,19893.0609537065,4493.108733830439,76482.76276617941
2014-03-01,2184.3333333333335,52292.378024021564,19965.12741953904,4509.908663872644,76767.41410743324
2014-04-01,2184.3333333333335,52481.92112361094,20037.597588518784,4526.7012201481975,77046.21993227792
2014-05-01,2184.3333333333335,52665.42137452343,20110.3253592179,4543.499607488826,77319.24634123014
2014-06-01,2184.3333333333335,52843.07142961851,20183.175859262556,4560.310876618365,77586.55816549945
2014-07-01,2184.3333333333335,53015.05779976433,20256.024763236455,4577.137067937988,77848.21963093878
2014-08-01,2184.3333333333335,53181.56104965132,20328.75764831561,4593.9761853347,78104.29488330163
2014-09-01,2184.3333333333335,53342.755987363096,20401.269385643016,4610.823023343433,78354.84839634954
2014-10-01,2184.3333333333335,53498.8118479036,20473.46356555428,4627.669867887531,78599.94528134541
2014-11-01,2184.3333333333335,53649.892470873165,20545.25195486245,4644.507088125256,78839.65151386088
2014-12-01,2184.3333333333335,53796.15647248013,20616.55398450249,4661.323634587882,79074.0340915705
2015-01-01,2266.75,53937.75741206847,20687.296265923524,4678.1074567612595,79303.16113475326
2015-02-01,2266.75,54144.89812000304,20757.41213470012,4694.845851497246,79597.1561062004
2015-03-01,2266.75,54345.43494757697,20828.257490482654,4711.525752108833,79885.21819016847
2015-04-01,2266.75,54539.578433975206,20899.662844452047,4728.176915345559,80167.4181937728
2015-05-01,2266.75,54727.532406155035,20971.47132369277,4744.820074190712,80443.82380403852
2015-06-01,2266.75,54909.49419283951,21043.537913255343,4761.4684982638455,80714.50060435869
2015-07-01,2266.75,55085.654831688524,21115.72873992784,4778.129327567884,80979.51289918425
2015-08-01,2266.75,55256.19926986499,21187.92039552135,4794.804710429749,81238.92437581609
2015-09-01,2266.75,55421.30655820684,21259.99929758695,4811.492772390332,81492.79862818413
2015-10-01,2266.75,55581.15003920849,21331.86108558874,4828.188439244169,81741.1995640414
2015-11-01,2266.75,55735.897529009344,21403.410050659008,4844.8841343410895,81984.19171400944
2015-12-01,2266.75,55885.7114935802,21474.55859715812,4861.57036758011,82221.84045831843
2016-01-01,2351.083333333333,56030.74921929273,21545.226734353044,4878.236231196877,82454.21218484265
2016-02-01,2351.083333333333,56242.84631138426,21615.341596615574,4894.8698154237445,82753.05772342358
2016-03-01,2351.083333333333,56448.18150797501,21686.286197718393,4911.458555345935,83045.92626103933
2016-04-01,2351.083333333333,56646.97038595154,21757.882909692307,4928.0334662325195,83332.88676187636
2016-05-01,2351.083333333333,56839.42164936514,21829.967223754553,4944.616128497385,83614.00500161707
2016-06-01,2351.083333333333,57025.73734854557,21902.38696430155,4961.220317021082,83889.34462986821
2016-07-01,2351.083333333333,57206.11309222925,21975.00154609864,4977.8533939703875,84158.96803229827
2016-08-01,2351.083333333333,57380.73825292456,22047.68127239506,4994.517497294887,84422.93702261451
2016-09-01,2351.083333333333,57549.79616572983,22120.30667180888,5011.210552810803,84681.31339034952
2016-10-01,2351.083333333333,57713.46432081284,22192.767871937365,5027.927134073964,84934.15932682417
2016-11-01,2351.083333333333,57871.9145497538,22264.964007753275,5044.65919102288,85181.53774852994
2016-12-01,2351.083333333333,58025.31320594754,22336.802662947306,5061.396665575523,85423.51253447037
2017-01-01,2383.083333333333,58173.82133925427,22408.199342471642,5078.128009934238,85660.14869166014
2017-02-01,2383.083333333333,58344.79486508225,22479.076974629406,5094.840621243925,85918.71246095559
2017-03-01,2383.083333333333,58510.31756127533,22549.915337903483,5111.521204417434,86171.75410359625
2017-04-01,2383.083333333333,58670.56320645547,22620.606170808795,5128.172749075866,86419.34212634013
2017-05-01,2383.083333333333,58825.70003898532,22691.050064747007,5144.794571571418,86661.54467530374
2017-06-01,2383.083333333333,58975.89093359804,22761.155915360836,5161.383062904546,86898.42991186342
2017-07-01,2383.083333333333,59121.29357239582,22830.8404045194,5177.932322381811,87130.06629929703
2017-08-01,2383.083333333333,59262.060610396846,22900.027511309952,5194.434692856933,87356.52281456372
2017-09-01,2383.083333333333,59398.33983580444,22968.648050495172,5210.881211280494,87577.8690975801
2017-10-01,2383.083333333333,59530.27432516664,23036.639236974657,5227.261986445482,87794.17554858678
2017-11-01,2383.083333333333,59658.00259358909,23103.94427486473,5243.566514219983,88005.5133826738
2017-12-01,2383.083333333333,59781.65874015898,23170.511969882376,5259.783939173055,88211.95464921441
2018-01-01,2431.6666666666665,59901.37258873275,23236.296363787038,5275.90327029746,88413.57222281725
2018-02-01,2431.6666666666665,60058.5656575686,23301.256389698658,5291.913557489676,88651.73560475693
2018-03-01,2431.6666666666665,60210.747233345144,23366.190416476154,5307.804034542396,88884.74168436369
2018-04-01,2431.6666666666665,60358.07708813674,23430.998410124364,5323.589551189117,89112.66504945022
2018-05-01,2431.6666666666665,60500.70990030309,23495.588500573613,5339.279985359026,89335.57838623572
2018-06-01,2431.6666666666665,60638.79541688258,23559.876476042475,5354.881139692004,89553.55303261706
2018-07-01,2431.6666666666665,60772.47861080845,23623.785305622485,5370.395505702887,89766.65942213382
2018-08-01,2431.6666666666665,60901.89983311263,23687.244688588187,5385.822913725842,89974.96743542666
2018-09-01,2431.6666666666665,61027.19496027719,23750.19062901306,5401.161084357788,90178.54667364804
2018-10-01,2431.6666666666665,61148.4955368881,23812.56503434508,5416.406095025084,90377.46666625826
2018-11-01,2431.6666666666665,61265.928913740914,23874.315336665197,5431.5527734785455,90571.79702388465
